StartTime;EndTime;HoldTime;HoldTimeNormalized;Key;OnCircleHitWindow;IsHit;HitError;PosX;PosY
9410;9528;118;79;M1;False;False;;376.4445;309.33334
9820;9877;57;38;M1;False;False;;475.1111;364.8889
10078;10829;751;501;M1;False;False;;402.6667;322.6667
11048;11076;28;19;M1;False;False;;514.6667;321.3333
11944;12406;462;308;K2;False;True;-28;458.2222;378.22223
11970;11999;29;19;K1;False;False;;460.4445;376.8889
12495;12680;185;123;K2;True;True;-9;437.7778;255.5556
13009;13188;179;119;K2;True;True;-28;352.4445;165.7778
13376;13955;579;386;K1;False;True;-16;264.4445;201.3333
13907;14047;140;93;K2;True;True;-17;160;208.8889
14274;14458;184;123;K2;True;True;-5;72;164.8889
14430;14874;444;296;K1;False;True;-27;62.66667;153.7778
14800;15225;425;283;K2;False;True;-12;25.77778;98.2222
15320;15478;158;105;K2;True;True;-24;83.11111;19.111115
15831;16194;363;242;K2;False;True;-46;201.3333;88
16224;16824;600;400;K1;False;True;-8;277.7778;91.111115
16762;17169;407;271;K2;False;True;-2;293.7778;205.3333
17284;17497;213;142;K2;True;True;-13;294.2222;334.6667
17640;18172;532;355;K1;False;True;-12;210.6667;371.1111
18179;18382;203;135;K2;True;True;-6;83.55556;350.22223
18366;18761;395;263;K1;False;True;4;71.55556;327.55557
18715;18921;206;137;K2;True;True;-2;46.22222;284.44446
19073;19613;540;360;K1;False;True;1;91.11111;172.4444
19721;19789;68;45;K1;False;True;-61;248.8889;105.33331
19747;20105;358;239;K2;False;False;;250.2222;105.33331
20123;20246;123;82;K1;True;True;-14;309.3333;149.7778
20472;20902;430;287;K2;False;True;-20;409.7778;154.6667
21014;21213;199;133;K2;True;True;-11;418.2222;63.111115
21191;21675;484;323;K1;False;True;-11;416;50.2222
21910;22342;432;288;K2;False;True;-2;321.7778;26.222198
22449;22579;130;87;K2;True;True;4;207.1111;73.7778
22784;22949;165;110;K2;True;True;-16;142.6667;144.8889
22970;23354;384;256;K1;False;True;-7;142.2222;146.6667
23325;23518;193;129;K2;True;True;-7;141.7778;226.6667
23671;23797;126;84;K1;True;True;-16;198.6667;295.55554
24033;24174;141;94;K2;True;True;-10;270.6667;272.88892
24405;24839;434;289;K1;False;True;7;357.3333;329.77777
24774;25176;402;268;K2;False;True;21;422.6667;348
25281;25412;131;87;K2;True;True;-4;476;245.3333
25634;25830;196;131;K2;True;True;-6;428;180.8889
25820;26215;395;263;K1;False;True;2;412.8889;176.8889
26179;26410;231;154;K2;True;True;6;340;203.1111
26544;26688;144;96;K1;True;True;16;259.1111;150.6667
26895;27077;182;121;K2;True;True;12;176.4444;186.2222
27244;27673;429;286;K1;False;True;6;80.44444;165.7778
27613;28024;411;274;K2;False;True;20;46.66667;96
28114;28292;178;119;K2;True;True;-11;107.1111;19.111115
28468;28642;174;116;K2;True;True;-12;184.8889;62.666687
28652;28748;96;64;K1;True;True;-6;192;66.66669
29004;29316;312;208;K2;False;True;-9;260.4445;123.111115
29366;29548;182;121;K1;True;True;-2;250.6667;200.8889
29702;29986;284;189;K2;False;True;-21;179.5556;269.3333
30067;30227;160;107;K1;True;True;-11;184;340
30441;30935;494;329;K2;False;True;8;276.4445;380
30945;31473;528;352;K1;False;True;-21;396;347.55557
31473;31631;158;105;K2;True;True;-25;455.1111;234.6667
31831;32432;601;401;K1;False;True;-22;380.8889;156.4444
32389;32916;527;351;K2;False;True;3;272.4445;200
32921;33079;158;105;K1;True;True;3;169.7778;188
33278;33422;144;96;K2;True;True;5;96.44444;222.6667
34673;35404;731;487;K1;False;True;-20;470.6667;153.7778
35401;35736;335;223;K2;False;True;-2;381.3333;36.888885
35763;35898;135;90;K1;True;True;5;305.7778;89.33331
36105;36636;531;354;K2;False;True;-9;218.2222;160
36810;37258;448;299;K1;False;True;-14;120.4444;71.111115
37192;37547;355;237;K2;False;True;13;29.77778;100.888885
37547;38006;459;306;K1;False;True;13;14.22222;196.4444
38032;38235;203;135;K2;True;True;-34;108.4444;292.8889
38229;38608;379;253;K1;False;True;-15;146.6667;310.22223
38583;38755;172;115;K2;True;True;-16;212;279.11108
38947;39269;322;215;K1;False;True;-7;282.6667;212
39284;39469;185;123;K2;True;True;-25;285.7778;136.4444
39497;40000;503;335;K1;False;True;11;282.2222;112.888885
39985;40199;214;143;K2;True;True;-34;322.6667;11.1111145
40372;40838;466;311;K1;False;True;-2;426.2222;56.44449
41073;41337;264;176;K2;False;True;-11;505.7778;216.4444
41437;41641;204;136;K2;True;True;-2;489.7778;311.55554
41797;42298;501;334;K1;False;True;3;380.8889;308
42340;42549;209;139;K2;True;True;13;248.8889;271.11108
42520;42910;390;260;K1;False;True;16;247.1111;259.11108
42875;43149;274;183;K2;False;True;16;259.5555;186.2222
43195;43338;143;95;K1;True;True;-19;252.4444;91.55551
43545;43889;344;229;K2;False;True;-24;153.3333;47.111115
43924;44123;199;133;K1;True;True;0;71.11111;84
44277;44621;344;229;K2;False;True;-2;23.11111;167.5556
44643;44825;182;121;K1;True;True;9;61.77778;244.8889
44985;45297;312;208;K2;False;True;-4;154.6667;301.77777
45325;45725;400;267;K1;False;True;-19;223.5556;258.6667
45697;45919;222;148;K2;True;True;-2;302.6667;220.8889
46044;46571;527;351;K1;False;True;-10;384;160.4444
46574;46782;208;139;K2;True;True;-13;486.2222;210.6667
46790;47145;355;237;K1;False;True;26;479.5555;258.6667
47122;47307;185;123;K2;True;True;3;400.8889;286.22223
47461;47836;375;250;K1;False;True;-13;296.8889;223.5556
47809;48037;228;152;K2;True;True;-20;267.5555;152.4444
48183;48588;405;270;K1;False;True;-2;242.6667;45.7778
48541;48854;313;209;K2;False;True;1;162.2222;60.888885
48894;49370;476;317;K1;False;True;-1;60;82.66669
49592;49932;340;227;K2;False;True;-13;16.88889;264.4444
49947;50089;142;95;K1;True;True;-13;94.22222;307.1111
50291;50525;234;156;K2;False;True;-24;184.8889;372.44443
50642;50830;188;125;K2;True;True;-28;267.1111;344
50811;51405;594;396;K1;False;True;-36;277.7778;326.6667
51362;51528;166;111;K2;True;True;-18;249.3333;209.7778
51738;52272;534;356;K1;False;True;3;226.6667;109.33331
52266;52476;210;140;K2;True;True;-1;371.1111;62.666687
52462;52825;363;242;K1;False;True;17;409.3333;52.44449
52805;53019;214;143;K2;True;True;5;441.3333;128.4444
53138;53641;503;335;K1;False;True;-17;481.7778;222.2222
53660;53869;209;139;K2;True;True;-28;432;340.8889
53858;54266;408;272;K1;False;True;-7;405.7778;345.3333
54223;54521;298;199;K2;False;True;3;331.1111;305.77777
54561;54681;120;80;K1;True;True;-14;251.5556;317.77777
54959;55080;121;81;K2;True;True;29;168;380.8889
55120;55303;183;122;K1;True;True;12;166.2222;381.77777
55307;55378;71;47;K2;True;True;22;162.6667;381.77777
55634;56038;404;269;K1;False;True;-6;71.55556;316.44446
56016;56269;253;169;K2;True;True;21;45.33333;236
56359;56730;371;247;K1;False;True;9;121.3333;177.3333
56701;56911;210;140;K2;True;True;-4;192;236
57063;57604;541;361;K1;False;True;3;277.7778;277.3333
